algorithm,corpus,pattern,length,rarity_bucket,comparisons,bmh_comparisons,comparison_reduction_pct
FBAS,pizza,"or Don's preservation, began lou",32,rare,7546027.0,7840146.0,3.751447995993952
FBAS,pizza,ould mak,8,medium,16949523.0,16987330.0,0.222559990298652
FBAS,pizza,"p, over which, a",16,medium,10209784.0,11073350.0,7.7985975337183415
FBAS,pizza,"presence."" So he sent for her, and by reason of this, there was ",64,rare,5667420.0,7078016.0,19.929257012134475
FBAS,pizza,prit. Th,8,medium,16701935.0,17676034.0,5.510845928447524
FBAS,pizza,"r monies and yet other hundred loaded with raiment of silken stuffs, sendal and brocade, besides an hundred slave-girls and a ce",128,rare,3704982.0,4081056.0,9.215114911434688
FBAS,pizza,ree hund,8,medium,17801920.0,18100301.0,1.6484863980991256
FBAS,pizza,"rs would be answered, but that at all events it was his duty to be resigned to the will of God. ""Prayer is the only key that wil",128,rare,4055331.0,4161123.0,2.542390599845282
FBAS,pizza,rying to,8,medium,17784561.0,19138479.0,7.074323931384516
FBAS,pizza,"s Alfred was much agitated. She was alive, and perhaps near him.",64,medium,5296003.0,5262159.0,-0.6431580649691505
FBAS,pizza,"s falling--clutching, in vain, a",32,rare,5812537.0,6424200.0,9.521232215684444
FBAS,pizza,"s.  'Moose noses, buffalo tongues, bear steaks, and roasted marrow-bones would be the thing, but I don't mind a change; so bring",128,rare,4610320.0,4864536.0,5.225904382247351
FBAS,pizza,se of their narr,16,medium,12226213.0,12203397.0,-0.18696433460289785
FBAS,pizza,"sel, and got everything shipshape for the long voyage to come; but the best of all was, that we acquired valuable experience of ",128,rare,4629467.0,5781865.0,19.931250556697535
FBAS,pizza,"sful in his attempt, and success is dear to us all.  The archdeacon had trampled upon Mr. Slope and had lifted to high honours t",128,medium,3831153.0,4261486.0,10.09819110047528
FBAS,pizza,t of the prosper,16,medium,10589755.0,11199204.0,5.441895691872387
FBAS,pizza,t's wife,8,rare,16212968.0,17746414.0,8.640878095146434
FBAS,pizza,"tent and all delight of life, when Ni'amah craved leave to retur",64,rare,5421464.0,5712172.0,5.089272521905853
